Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Amen Thompson,23,HOU,PG,79,79,2953,18.9,59.4%,11.1%,37.4%,8.9,14,11.5,20.4,2,1.5,13.5,20,6.5,3.8,10.3,0.167,1.6,1,2.6,3.4,DPOY-8
2,Kevin Durant,37,HOU,SF,78,78,2840,21.1,64.1%,32.7%,33.9%,1.6,14.8,8.3,20.7,1.1,2.3,13.5,27.1,7.5,3.2,10.7,0.18,4.4,0.1,4.5,4.7,"CPOY-9,AS,NBA2"
3,Desmond Bane,27,ORL,SG,82,82,2756,16.9,60.7%,35.4%,28.7%,3.9,9.8,6.8,19.3,1.5,1.2,10.8,23.3,4.8,2.6,7.4,0.129,1.6,-0.2,1.4,2.3,
4,Toumani Camara,25,POR,PF,82,82,2731,11.3,57.8%,66.4%,15.4%,5,11.7,8.4,10.4,1.6,1.1,13.1,16.3,2.1,2.7,4.8,0.084,-1,0,-1,0.7,
5,Jabari Smith Jr.,22,HOU,PF,77,77,2705,13.5,57.0%,50.1%,21.5%,4.5,17,10.8,7.3,1,2.4,9,18.2,3.4,3.3,6.6,0.118,-0.5,-0.2,-0.7,0.9,
6,Mikal Bridges,29,NYK,SF,82,82,2692,15.3,58.7%,43.6%,10.2%,3.3,9.7,6.5,15.9,2,2.4,7.6,17.3,4.7,3.3,8,0.143,1.3,1.4,2.7,3.2,
7,Scottie Barnes,24,TOR,PF,80,80,2681,19.2,57.7%,19.9%,26.4%,6.3,19.3,12.7,26.3,2.1,4.2,14.3,23.4,3.3,4.5,7.8,0.14,1.9,2.3,4.2,4.2,"DPOY-5,AS,DEF2"
8,Tyrese Maxey,25,PHI,PG,70,70,2661,21.9,58.8%,39.9%,27.8%,1,11,5.9,28.9,2.4,1.9,9.2,29.4,5.9,2.8,8.7,0.156,5,0.5,5.4,4.9,"CPOY-7,AS,NBA3"
9,Jamal Murray,28,DEN,PG,75,75,2652,21.8,62.2%,41.4%,28.7%,1.4,12,7,31.1,1.2,1,10,27.9,7.8,1.7,9.5,0.173,5.5,-1.4,4.1,4.1,"CPOY-2,AS,NBA3"
10,Derrick White,31,BOS,SG,77,77,2625,16,52.9%,57.8%,18.4%,3.7,10.4,7.1,22.2,1.7,3.8,10.1,22,3.5,3.5,7,0.129,2.2,1,3.2,3.5,"DPOY-6,DEF1"
11,VJ Edgecombe,20,PHI,SG,75,75,2623,14,54.0%,40.9%,17.6%,5,12.7,8.8,17.4,2,1.4,11,20.1,1.9,2.5,4.4,0.081,-0.4,-0.1,-0.5,1,ROY-3
12,Julius Randle,31,MIN,PF,79,79,2610,18.4,58.5%,28.7%,41.1%,5.7,16.5,11.2,23.1,1.6,0.6,13.2,26.5,4.3,3.1,7.4,0.135,1.5,0,1.5,2.3,
13,Brandon Ingram,28,TOR,SF,77,77,2604,16.3,57.3%,27.4%,27.6%,2.7,16.1,9.4,16.8,1.1,2,11.5,26.9,1.5,3.1,4.6,0.084,1,-0.5,0.5,1.7,AS
14,Nickeil Alexander-Walker,27,ATL,SG,78,71,2603,16.5,61.0%,52.6%,25.7%,2.1,9.1,5.6,15.8,1.9,1.5,10.9,23.9,3.6,2.7,6.3,0.116,1.6,-0.4,1.2,2.1,MIP-1
15,Jalen Brunson,29,NYK,PG,74,74,2590,20.1,58.0%,35.8%,28.5%,1.3,9.4,5.3,31.3,1.1,0.3,9.5,30.4,6.5,2.2,8.8,0.163,4,-0.9,3.1,3.3,"CPOY-5,AS,NBA2"
16,Payton Pritchard,28,BOS,PG,79,50,2556,17.1,58.4%,51.5%,12.5%,3,10.2,6.7,23.5,1.1,0.4,8.7,21.4,6.1,2.4,8.5,0.16,2.6,-0.3,2.3,2.8,
17,Kon Knueppel,20,CHO,SF,81,80,2551,17.1,63.3%,59.2%,20.8%,4.4,14.6,9.6,16.6,1.1,0.7,12,22.3,5.6,2.5,8,0.151,3.1,-0.4,2.8,3.1,ROY-2
18,Jalen Johnson,24,ATL,SF,72,72,2532,20.4,58.1%,27.8%,31.1%,4.3,27.8,15.9,33.5,1.7,1.1,14.9,27,3.6,3.9,7.5,0.141,2.8,1.4,4.2,4,"AS,NBA3"
19,Dyson Daniels,22,ATL,SG,76,76,2520,15.5,54.2%,15.1%,15.7%,7.8,14.7,11.2,23.9,2.8,1.1,14,16,3.1,3.6,6.6,0.126,-0.6,1.8,1.3,2.1,"DPOY-9,DEF2"
20,Paolo Banchero,23,ORL,PF,72,72,2502,17.6,56.6%,23.9%,51.2%,3.8,23.4,13.5,23.4,1,1.4,13.6,27.6,2,3,5,0.095,1.4,0,1.4,2.1,
21,Donte DiVincenzo,29,MIN,SG,82,82,2494,12.5,56.7%,77.1%,12.6%,3,11.6,7.4,16.8,2,1.2,11.8,16.9,2.3,2.9,5.2,0.1,0,0.7,0.8,1.7,
22,Jaylen Brown,29,BOS,SF,71,71,2443,22,57.3%,26.2%,34.7%,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,3.5,3.4,6.9,0.135,3.5,-0.1,3.3,3.3,"MVP-6,AS,NBA2"
23,James Harden,36,2TM,PG,70,70,2438,20.7,61.0%,51.0%,46.7%,1.9,13.6,7.9,34.7,1.6,1.1,15.3,28.6,5.6,2.1,7.7,0.151,4.6,-0.8,3.9,3.6,
23,James Harden,36,LAC,PG,44,44,1559,21.7,59.8%,50.5%,48.5%,2.1,13.4,7.9,36.3,1.8,1,14.8,31.2,3.5,1.3,4.8,0.148,4.8,-1,3.8,2.3,
23,James Harden,36,CLE,PG,26,26,879,18.9,63.9%,52.3%,42.6%,1.6,13.8,7.8,31.8,1.2,1.3,16.6,24,2.1,0.8,2.9,0.158,4.4,-0.4,4,1.3,
24,DeMar DeRozan,36,SAC,PF,77,77,2406,17.8,59.4%,14.6%,42.9%,1.6,9.1,5.3,20,1.6,0.9,7.4,22.8,5.2,0.4,5.6,0.112,0.9,-1,-0.1,1.1,
25,Alperen _engün,23,HOU,C,72,72,2398,21.4,56.9%,11.7%,33.5%,10.1,19.4,14.8,28.9,1.8,3,15,26.6,4.4,3.6,8,0.161,2.7,1.5,4.2,3.7,AS
26,Miles Bridges,27,CHO,PF,77,77,2387,16,57.0%,42.7%,24.3%,3.6,17.4,10.6,15.9,1,1.3,8.5,22.3,4,2.5,6.5,0.13,1.2,-0.1,1.1,1.9,
27,Rudy Gobert,33,MIN,C,76,76,2380,17.5,66.4%,1.0%,61.5%,14.1,25.9,20.1,7.2,1.2,4.5,14.5,12.9,4.8,4,8.7,0.176,0,0.9,1,1.8,"DPOY-4,DEF1"
28,Ryan Rollins,23,MIL,PG,74,67,2376,16.2,58.3%,44.0%,15.2%,2.6,13.4,8,27.1,2.3,1.3,15.5,24.2,1.7,1.8,3.4,0.069,0.7,-0.5,0.2,1.3,
29,Bam Adebayo,28,MIA,C,73,73,2365,18.7,55.1%,34.9%,36.9%,6.5,25.7,16.1,14.1,1.7,1.8,8.3,25,2.8,3.6,6.4,0.129,1.5,0.4,2,2.4,"DPOY-11,DEF2"
30,Cooper Flagg,19,DAL,SF,70,70,2344,17.9,54.8%,20.4%,28.6%,3.9,17,10.5,21.5,1.7,2.3,10.7,26.9,1.3,2.5,3.8,0.078,1,0.4,1.4,2,ROY-1
31,Donovan Mitchell,29,CLE,SG,70,70,2342,22.9,61.3%,43.9%,30.6%,2.4,12.4,7.4,27.9,2.1,0.8,11.1,32.2,5.8,2.4,8.2,0.169,5.2,-0.2,5.1,4.2,"MVP-7,AS,NBA2"
